Ipsm.Iblquad.I_tst_bl.I0<0>.I_jcb,861,1
Ipsm.Iblquad.I_tst_bl.I0<1>.I_jcb,861,5
Ipsm.Iblquad.I_tst_bl.I0<2>.I_jcb,861,8
Ipsm.Iblquad.I_tst_bl.I0<3>.I_jcb,861,12
Ipsm.Iblquad.I_tst_bl.I3<0>.I_jcb,861,15
Ipsm.Iblquad.I_tst_bl.I3<1>.I_jcb,861,16
Ipsm.Iblquad.I_tst_bl.I3<2>.I_jcb,861,18
Ipsm.Iblquad.I_tst_bl.I3<3>.I_jcb,861,19
Ipsm.Iblquad.I_tst_bl.I4<0>.I_jcb,861,20
Ipsm.Iblquad.I_tst_bl.I4<1>.I_jcb,861,21
Ipsm.Iblquad.I_tst_bl.I4<2>.I_jcb,861,22
Ipsm.Iblquad.I_tst_bl.I4<3>.I_jcb,861,23
Ipsm.Iblquad.I_tst_bot<0>.I0<0>.I_jcb,887,27
Ipsm.Iblquad.I_tst_bot<0>.I0<1>.I_jcb,887,31
Ipsm.Iblquad.I_tst_bot<0>.I0<2>.I_jcb,887,34
Ipsm.Iblquad.I_tst_bot<0>.I0<3>.I_jcb,887,38
Ipsm.Iblquad.I_tst_bot<0>.I3<0>.I_jcb,887,41
Ipsm.Iblquad.I_tst_bot<0>.I3<1>.I_jcb,887,42
Ipsm.Iblquad.I_tst_bot<0>.I3<2>.I_jcb,887,44
Ipsm.Iblquad.I_tst_bot<0>.I3<3>.I_jcb,887,45
Ipsm.Iblquad.I_tst_bot<0>.I4<0>.I_jcb,887,46
Ipsm.Iblquad.I_tst_bot<0>.I4<1>.I_jcb,887,47
Ipsm.Iblquad.I_tst_bot<0>.I4<2>.I_jcb,887,48
Ipsm.Iblquad.I_tst_bot<0>.I4<3>.I_jcb,887,49
Ipsm.Iblquad.I_tst_bot<10>.I0<0>.I_jcb,887,287
Ipsm.Iblquad.I_tst_bot<10>.I0<1>.I_jcb,887,291
Ipsm.Iblquad.I_tst_bot<10>.I0<2>.I_jcb,887,294
Ipsm.Iblquad.I_tst_bot<10>.I0<3>.I_jcb,887,298
Ipsm.Iblquad.I_tst_bot<10>.I3<0>.I_jcb,887,301
Ipsm.Iblquad.I_tst_bot<10>.I3<1>.I_jcb,887,302
Ipsm.Iblquad.I_tst_bot<10>.I3<2>.I_jcb,887,304
Ipsm.Iblquad.I_tst_bot<10>.I3<3>.I_jcb,887,305
Ipsm.Iblquad.I_tst_bot<10>.I4<0>.I_jcb,887,306
